2026-04-14 08:13:34,0,42
2026-04-14 08:13:34,5,19
2026-04-14 08:13:34,10,18
2026-04-14 08:13:35,15,19
2026-04-14 08:13:35,20,20
2026-04-14 08:13:35,25,20
2026-04-14 08:13:35,30,28
2026-04-14 08:13:35,35,42
2026-04-14 08:13:35,40,42
2026-04-14 08:13:36,45,45
2026-04-14 08:13:36,50,51
2026-04-14 08:13:36,55,43
2026-04-14 08:13:36,60,42
2026-04-14 08:13:37,65,39
2026-04-14 08:13:37,70,39
2026-04-14 08:13:37,75,39
2026-04-14 08:13:37,80,38
2026-04-14 08:13:37,85,38
2026-04-14 08:13:38,90,39
2026-04-14 08:13:38,95,39
2026-04-14 08:13:38,100,42
2026-04-14 08:13:38,105,50
2026-04-14 08:13:38,110,48
2026-04-14 08:13:38,115,219
2026-04-14 08:13:39,120,217
2026-04-14 08:13:39,125,220
2026-04-14 08:13:39,130,218
2026-04-14 08:13:39,135,219
2026-04-14 08:13:39,140,270
2026-04-14 08:13:39,145,220
2026-04-14 08:13:40,150,235
2026-04-14 08:13:40,155,111
2026-04-14 08:13:40,160,145
2026-04-14 08:13:40,165,269
2026-04-14 08:13:40,170,58
2026-04-14 08:13:40,175,35
2026-04-14 08:13:41,180,37
2026-04-14 08:13:41,175,35
2026-04-14 08:13:41,170,37
2026-04-14 08:13:41,165,150
2026-04-14 08:13:41,160,73
2026-04-14 08:13:42,155,143
2026-04-14 08:13:42,150,128
2026-04-14 08:13:42,145,146
2026-04-14 08:13:42,140,125
2026-04-14 08:13:42,135,95
2026-04-14 08:13:42,130,145
2026-04-14 08:13:43,125,103
2026-04-14 08:13:43,120,110
2026-04-14 08:13:43,115,161
2026-04-14 08:13:43,110,166
2026-04-14 08:13:43,105,51
2026-04-14 08:13:44,100,40
2026-04-14 08:13:44,95,39
2026-04-14 08:13:44,90,41
2026-04-14 08:13:44,85,38
2026-04-14 08:13:44,80,38
2026-04-14 08:13:44,75,37
2026-04-14 08:13:45,70,40
2026-04-14 08:13:45,65,41
2026-04-14 08:13:45,60,42
2026-04-14 08:13:45,55,46
2026-04-14 08:13:45,50,52
2026-04-14 08:13:45,45,45
2026-04-14 08:13:46,40,43
2026-04-14 08:13:46,35,41
2026-04-14 08:13:46,30,41
2026-04-14 08:13:46,25,20
2026-04-14 08:13:46,20,20
2026-04-14 08:13:46,15,19
2026-04-14 08:13:47,10,18
2026-04-14 08:13:47,5,19
2026-04-14 08:13:47,0,18
2026-04-14 08:13:47,5,19
2026-04-14 08:13:47,10,18
2026-04-14 08:13:47,15,19
2026-04-14 08:13:48,20,20
2026-04-14 08:13:48,25,20
2026-04-14 08:13:48,30,27
2026-04-14 08:13:48,35,42
2026-04-14 08:13:48,40,44
2026-04-14 08:13:48,45,44
2026-04-14 08:13:49,50,53
2026-04-14 08:13:49,55,44
2026-04-14 08:13:49,60,41
2026-04-14 08:13:49,65,39
2026-04-14 08:13:49,70,38
2026-04-14 08:13:49,75,38
2026-04-14 08:13:50,80,38
2026-04-14 08:13:50,85,39
2026-04-14 08:13:50,90,39
2026-04-14 08:13:50,95,40
2026-04-14 08:13:50,100,42
2026-04-14 08:13:51,105,41
2026-04-14 08:13:51,110,51
2026-04-14 08:13:51,115,89
2026-04-14 08:13:51,120,219
2026-04-14 08:13:51,125,221
2026-04-14 08:13:51,130,219
2026-04-14 08:13:52,135,140
2026-04-14 08:13:52,140,91
2026-04-14 08:13:52,145,224
2026-04-14 08:13:52,150,270
2026-04-14 08:13:52,155,148
2026-04-14 08:13:53,160,72
2026-04-14 08:13:53,165,271
2026-04-14 08:13:53,170,61
2026-04-14 08:13:53,175,36
2026-04-14 08:13:53,180,32
2026-04-14 08:13:53,175,35
2026-04-14 08:13:54,170,37
2026-04-14 08:13:54,165,102
2026-04-14 08:13:54,160,123
2026-04-14 08:13:54,155,121
2026-04-14 08:13:54,150,84
2026-04-14 08:13:54,145,115
2026-04-14 08:13:55,140,110
2026-04-14 08:13:55,135,122
2026-04-14 08:13:55,130,115
2026-04-14 08:13:55,125,116
2026-04-14 08:13:55,120,88
2026-04-14 08:13:55,115,193
2026-04-14 08:13:56,110,49
2026-04-14 08:13:56,105,44
2026-04-14 08:13:56,100,42
2026-04-14 08:13:56,95,41
2026-04-14 08:13:56,90,39
2026-04-14 08:13:56,85,38
2026-04-14 08:13:57,80,39
2026-04-14 08:13:57,75,38
2026-04-14 08:13:57,70,39
2026-04-14 08:13:57,65,41
2026-04-14 08:13:57,60,41
2026-04-14 08:13:58,55,43
2026-04-14 08:13:58,50,51
2026-04-14 08:13:58,45,46
2026-04-14 08:13:58,40,44
2026-04-14 08:13:58,35,41
2026-04-14 08:13:58,30,41
2026-04-14 08:13:59,25,20
2026-04-14 08:13:59,20,20
2026-04-14 08:13:59,15,19
2026-04-14 08:13:59,10,18
2026-04-14 08:13:59,5,19
2026-04-14 08:13:59,0,19
2026-04-14 08:14:00,5,19
2026-04-14 08:14:00,10,18
2026-04-14 08:14:00,15,19
2026-04-14 08:14:00,20,20
2026-04-14 08:14:00,25,22
2026-04-14 08:14:00,30,27
2026-04-14 08:14:01,35,41
2026-04-14 08:14:01,40,44
2026-04-14 08:14:01,45,46
2026-04-14 08:14:01,50,52
2026-04-14 08:14:01,55,46
2026-04-14 08:14:01,60,43
2026-04-14 08:14:02,65,41
2026-04-14 08:14:02,70,39
2026-04-14 08:14:02,75,39
2026-04-14 08:14:02,80,38
2026-04-14 08:14:02,85,37
2026-04-14 08:14:02,90,38
2026-04-14 08:14:03,95,39
2026-04-14 08:14:03,100,40
2026-04-14 08:14:03,105,42
2026-04-14 08:14:03,110,49
2026-04-14 08:14:03,115,145
2026-04-14 08:14:03,120,51
2026-04-14 08:14:04,125,220
2026-04-14 08:14:04,130,114
2026-04-14 08:14:04,135,218
2026-04-14 08:14:04,140,109
2026-04-14 08:14:04,145,224
2026-04-14 08:14:05,150,269
2026-04-14 08:14:05,155,135
2026-04-14 08:14:05,160,119
2026-04-14 08:14:05,165,116
2026-04-14 08:14:05,170,100
2026-04-14 08:14:05,175,101
2026-04-14 08:14:06,180,280
2026-04-14 08:14:06,175,37
2026-04-14 08:14:06,170,99
2026-04-14 08:14:06,165,101
2026-04-14 08:14:06,160,104
2026-04-14 08:14:07,155,116
2026-04-14 08:14:07,150,109
2026-04-14 08:14:07,145,99
2026-04-14 08:14:07,140,121
2026-04-14 08:14:07,135,117
2026-04-14 08:14:08,130,128
2026-04-14 08:14:08,125,101
2026-04-14 08:14:08,120,97
2026-04-14 08:14:08,115,139
2026-04-14 08:14:08,110,52
2026-04-14 08:14:08,105,41
2026-04-14 08:14:09,100,40
2026-04-14 08:14:09,95,40
2026-04-14 08:14:09,90,37
2026-04-14 08:14:09,85,37
2026-04-14 08:14:09,80,38
2026-04-14 08:14:09,75,39
2026-04-14 08:14:10,70,38
2026-04-14 08:14:10,65,40
2026-04-14 08:14:10,60,41
2026-04-14 08:14:10,55,44
2026-04-14 08:14:10,50,53
2026-04-14 08:14:11,45,44
2026-04-14 08:14:11,40,42
2026-04-14 08:14:11,35,42
2026-04-14 08:14:11,30,41
2026-04-14 08:14:11,25,21
2026-04-14 08:14:11,20,20
2026-04-14 08:14:12,15,19
2026-04-14 08:14:12,10,18
2026-04-14 08:14:12,5,19
2026-04-14 08:14:12,0,20
2026-04-14 08:14:12,5,19
2026-04-14 08:14:12,10,19
2026-04-14 08:14:13,15,18
2026-04-14 08:14:13,20,20
2026-04-14 08:14:13,25,22
2026-04-14 08:14:13,30,26
2026-04-14 08:14:13,35,41
2026-04-14 08:14:13,40,42
2026-04-14 08:14:14,45,43
2026-04-14 08:14:14,50,53
2026-04-14 08:14:14,55,48
2026-04-14 08:14:14,60,41
2026-04-14 08:14:14,65,40
2026-04-14 08:14:14,70,40
2026-04-14 08:14:15,75,38
2026-04-14 08:14:15,80,38
2026-04-14 08:14:15,85,38
2026-04-14 08:14:15,90,37
2026-04-14 08:14:15,95,38
2026-04-14 08:14:15,100,39
2026-04-14 08:14:16,105,43
2026-04-14 08:14:16,110,50
2026-04-14 08:14:16,115,218
2026-04-14 08:14:16,120,218
2026-04-14 08:14:16,125,220
2026-04-14 08:14:16,130,221
2026-04-14 08:14:17,135,219
2026-04-14 08:14:17,140,103
2026-04-14 08:14:17,145,145
2026-04-14 08:14:17,150,269
2026-04-14 08:14:17,155,170
2026-04-14 08:14:17,160,109
2026-04-14 08:14:18,165,269
2026-04-14 08:14:18,170,101
2026-04-14 08:14:18,175,31
2026-04-14 08:14:18,180,30
2026-04-14 08:14:18,175,29
2026-04-14 08:14:18,170,42
2026-04-14 08:14:19,165,78
2026-04-14 08:14:19,160,89
2026-04-14 08:14:19,155,114
2026-04-14 08:14:19,150,102
2026-04-14 08:14:19,145,84
2026-04-14 08:14:20,140,112
2026-04-14 08:14:20,135,92
2026-04-14 08:14:20,130,93
2026-04-14 08:14:20,125,147
2026-04-14 08:14:20,120,75
2026-04-14 08:14:20,115,110
2026-04-14 08:14:21,110,50
2026-04-14 08:14:21,105,49
2026-04-14 08:14:21,100,42
2026-04-14 08:14:21,95,39
2026-04-14 08:14:21,90,39
2026-04-14 08:14:21,85,37
2026-04-14 08:14:22,80,38
2026-04-14 08:14:22,75,38
2026-04-14 08:14:22,70,40
2026-04-14 08:14:22,65,40
2026-04-14 08:14:22,60,42
2026-04-14 08:14:22,55,46
2026-04-14 08:14:23,50,52
2026-04-14 08:14:23,45,45
2026-04-14 08:14:23,40,42
2026-04-14 08:14:23,35,42
2026-04-14 08:14:23,30,41
2026-04-14 08:14:23,25,20
2026-04-14 08:14:24,20,20
2026-04-14 08:14:24,15,19
2026-04-14 08:14:24,10,18
2026-04-14 08:14:24,5,19
2026-04-14 08:14:24,0,19
2026-04-14 08:14:24,5,19
2026-04-14 08:14:25,10,18
2026-04-14 08:14:25,15,19
2026-04-14 08:14:25,20,19
2026-04-14 08:14:25,25,20
2026-04-14 08:14:25,30,41
2026-04-14 08:14:25,35,42
2026-04-14 08:14:26,40,42
2026-04-14 08:14:26,45,43
2026-04-14 08:14:26,50,55
2026-04-14 08:14:26,55,47
2026-04-14 08:14:26,60,42
2026-04-14 08:14:27,65,41
2026-04-14 08:14:27,70,38
2026-04-14 08:14:27,75,38
2026-04-14 08:14:27,80,38
2026-04-14 08:14:27,85,38
2026-04-14 08:14:27,90,38
2026-04-14 08:14:28,95,38
2026-04-14 08:14:28,100,40
2026-04-14 08:14:28,105,42
2026-04-14 08:14:28,110,47
2026-04-14 08:14:28,115,51
